,BIN,BOROUGH,ZIP,STREET_NAME,BLOCK,LOT,CONFIRMATION_NUM,REPORTING_YEAR,MEET_STANDARDS,LATITUDE,LONGITUDE,CENSUS_TRACT,BBL
24837,1007214,MANHATTAN,10012,SPRING STREET,482,16,WTI7890891797,2019,Y,40.722506,-73.99763,45.0,1004820016.0
24841,1086135,MANHATTAN,10019,WEST   56 STREET,1027,7504,WTI4990561203,2020,Y,40.765595,-73.982325,137.0,1010277504.0
24842,1078988,MANHATTAN,10005,BROAD STREET,26,7501,WTI1879943810,2018,Y,40.706531,-74.011022,7.0,1000267501.0
24846,4080105,QUEENS,11415,AUSTIN STREET,3353,1,WTI1352831027,2019,Y,40.709678,-73.830043,775.0,4033530001.0
24847,1076268,MANHATTAN,10017,PARK AVENUE,1302,7501,WTI1828286918,2017,Y,40.755564,-73.975138,92.0,1013027501.0
24848,1045286,MANHATTAN,10065,EAST   62 STREET,1456,26,WTI3067577311,2016,Y,40.760698,-73.958759,10602.0,1014560026.0
24850,1001235,MANHATTAN,10007,Vesey Street,88,5,WTI1048555690,2019,Y,40.711843,-74.009562,21.0,1000880005.0
24855,1045818,MANHATTAN,10021,EAST   70 STREET,1465,21,WTI5550104514,2017,Y,40.766129,-73.956066,124.0,1014650021.0
24856,4438544,QUEENS,11102,SHORE BOULEVARD,905,7501,WTI9787438982,2017,Y,40.775801,-73.928785,91.0,4009057501.0
24857,1039960,MANHATTAN,10022,EAST   55 STREET,1347,44,WTI8714823361,2016,Y,40.75778,-73.96572,108.0,1013470044.0
24859,1030741,MANHATTAN,10023,WEST   74 STREET,1166,7501,WTI9059344591,2018,Y,40.77998,-73.98078,163.0,1011667501.0
24863,1031377,MANHATTAN,10024,WEST   86 STREET,1199,45,WTI1199126374,2018,Y,40.785821,-73.970616,169.0,1011990045.0
24865,4050411,QUEENS,11374,JUNCTION BOULEVARD,2080,7501,WTI5286432435,2018,Y,40.733414,-73.86416,71702.0,4020807501.0
24866,1076193,MANHATTAN,10036,BROADWAY,1019,7502,WTI9760739156,2018,Y,40.760216,-73.985334,125.0,1010197502.0
24869,1033753,MANHATTAN,10024,WEST   82 STREET,1244,81,WTI3336523223,2017,Y,40.786419,-73.980059,167.0,1012440081.0
24873,1036083,MANHATTAN,10022,Park Avenue,1294,33,WTI6974095059,2020,Y,40.762485,-73.970125,11202.0,1012940033.0
24878,1088437,MANHATTAN,10036,WEST   42 STREET,1051,7502,WTI3697069754,2020,Y,40.759212,-73.99451,115.0,1010517502.0
24881,1089951,MANHATTAN,10016,5 AVENUE,861,4,WTI0666166817,2020,Y,40.746841,-73.985716,74.0,1008610004.0
24884,1076268,MANHATTAN,10017,PARK AVENUE,1302,7501,WTI3621084073,2019,Y,40.755564,-73.975138,92.0,1013027501.0
24890,1083088,MANHATTAN,10001,WEST   27 STREET,776,47,WTI0225355677,2016,Y,40.747124,-73.995023,95.0,1007760047.0
24892,4078805,QUEENS,11375,AUSTIN STREET,3293,64,WTI5945777056,2019,Y,40.717717,-73.839409,76901.0,4032930064.0
24893,1078043,MANHATTAN,10002,Columbia Street,323,1,WTI1840771609,2020,Y,40.717007,-73.980268,1002.0,1003230001.0
24895,1001648,MANHATTAN,10007,BROADWAY,150,31,WTI0338192886,2019,Y,40.715046,-74.005591,33.0,1001500031.0
